ell,Delta_Cl_over_Cl_A,Delta_Cl_over_Cl_B
1595,-0.0006507104888291981,-0.0019521314664875944
1596,-0.0006510924761559911,-0.001953277428467973
1597,-0.0006514741762023463,-0.0019544225286070387
1598,-0.0006518555888410461,-0.001955566766523138
1599,-0.0006522367139453964,-0.0019567101418361895
1600,-0.0006526175513892265,-0.0019578526541676796
1601,-0.000652998101046888,-0.001958994303140664
1602,-0.0006533783627932549,-0.0019601350883797644
1603,-0.0006537583365037208,-0.0019612750095111624
1604,-0.0006541380220542011,-0.001962414066162603
1605,-0.0006545174193211288,-0.0019635522579633862
1606,-0.0006548965281814567,-0.00196468958454437
1607,-0.0006552753485126547,-0.001965826045537964
1608,-0.0006556538801927101,-0.0019669616405781306
1609,-0.0006560321231001259,-0.0019680963693003775
1610,-0.0006564100771139208,-0.0019692302313417624
1611,-0.0006567877421136282,-0.0019703632263408846
1612,-0.0006571651179792949,-0.0019714953539378844
1613,-0.000657542204591481,-0.001972626613774443
1614,-0.0006579190018312594,-0.001973757005493778
1615,-0.0006582955095802135,-0.00197488652874064
1616,-0.0006586717277204376,-0.0019760151831613127
1617,-0.000659047656134537,-0.0019771429684036106
1618,-0.0006594232947056247,-0.0019782698841168743
1619,-0.0006597986433173231,-0.0019793959299519693
1620,-0.0006601737018537618,-0.0019805211055612853
1621,-0.0006605484701995769,-0.001981645410598731
1622,-0.0006609229482399115,-0.001982768844719734
1623,-0.0006612971358604132,-0.0019838914075812394
1624,-0.0006616710329472341,-0.001985013098841702
1625,-0.0006620446393870305,-0.001986133918161091
1626,-0.0006624179550669615,-0.001987253865200884
1627,-0.000662790979874688,-0.001988372939624064
1628,-0.0006631637136983731,-0.001989491141095119
1629,-0.0006635361564266797,-0.001990608469280039
1630,-0.0006639083079487716,-0.0019917249238463144
1631,-0.0006642801681543105,-0.0019928405044629316
1632,-0.0006646517369334581,-0.001993955210800374
1633,-0.0006650230141768721,-0.001995069042530616
1634,-0.0006653939997757077,-0.001996181999327123
1635,-0.0006657646936216164,-0.0019972940808648493
1636,-0.0006661350956067452,-0.0019984052868202355
1637,-0.0006665052056237345,-0.0019995156168712033
1638,-0.0006668750235657202,-0.0020006250706971606
1639,-0.0006672445493263298,-0.002001733647978989
1640,-0.0006676137827996836,-0.002002841348399051
1641,-0.0006679827238803941,-0.0020039481716411824
1642,-0.0006683513724635633,-0.00200505411739069
1643,-0.0006687197284447843,-0.002006159185334353
1644,-0.0006690877917201394,-0.002007263375160418
1645,-0.0006694555621861983,-0.002008366686558595
1646,-0.0006698230397400199,-0.0020094691192200594
1647,-0.0006701902242791494,-0.002010570672837448
1648,-0.0006705571157016181,-0.002011671347104854
1649,-0.0006709237139059433,-0.0020127711417178298
1650,-0.0006712900187911272,-0.0020138700563733817
1651,-0.0006716560302566551,-0.002014968090769965
1652,-0.0006720217482024966,-0.0020160652446074897
1653,-0.0006723871725291033,-0.0020171615175873098
1654,-0.0006727523031374084,-0.0020182569094122247
1655,-0.0006731171399288269,-0.0020193514197864803
1656,-0.0006734816828052534,-0.0020204450484157597
1657,-0.0006738459316690623,-0.0020215377950071867
1658,-0.0006742098864231068,-0.0020226296592693203
1659,-0.0006745735469707185,-0.0020237206409121555
1660,-0.000674936913215706,-0.0020248107396471176
1661,-0.000675299985062354,-0.002025899955187062
1662,-0.0006756627624154245,-0.002026988287246273
1663,-0.0006760252451801528,-0.0020280757355404582
1664,-0.0006763874332622503,-0.0020291622997867507
1665,-0.0006767493265679007,-0.002030247979703702
1666,-0.0006771109250037617,-0.002031332775011285
1667,-0.0006774722284769624,-0.0020324166854308874
1668,-0.0006778332368951041,-0.002033499710685312
1669,-0.0006781939501662576,-0.0020345818504987727
1670,-0.0006785543681989652,-0.0020356631045968954
1671,-0.0006789144909022373,-0.002036743472706712
1672,-0.0006792743181855535,-0.00203782295455666
1673,-0.0006796338499588609,-0.0020389015498765827
1674,-0.0006799930861325739,-0.0020399792583977215
1675,-0.0006803520266175728,-0.0020410560798527185
1676,-0.0006807106713252041,-0.0020421320139756127
1677,-0.0006810690201672792,-0.0020432070605018375
1678,-0.0006814270730560728,-0.002044281219168218
1679,-0.0006817848299043241,-0.002045354489712972
1680,-0.0006821422906252347,-0.002046426871875704
1681,-0.0006824994551324677,-0.002047498365397403
1682,-0.0006828563233401482,-0.002048568970020445
1683,-0.000683212895162862,-0.002049638685488586
1684,-0.0006835691705156534,-0.0020507075115469603
1685,-0.0006839251493140277,-0.002051775447942083
1686,-0.0006842808314739473,-0.002052842494421842
1687,-0.0006846362169118328,-0.002053908650735498
1688,-0.0006849913055445615,-0.002054973916633684
1689,-0.0006853460972894674,-0.002056038291868402
1690,-0.0006857005920643399,-0.0020571017761930196
1691,-0.0006860547897874227,-0.002058164369362268
1692,-0.0006864086903774147,-0.002059226071132244
